     host guest      	                       dG (kJ/mol)         bootstrapped err (kJ/mol)
pde2 43249674                            :	  -42.74        	    2.47
pde2 50181001                            :	  -54.46        	    3.62
pde2 50107616                            :	  -58.16        	    3.34
pde2 49932714                            :	  -50.04        	    2.94
pde2 49932129                            :	  -41.53        	    4.76
pde2 49585367                            :	  -45.22        	    3.87
pde2 49582468                            :	  -52.25        	    3.61
pde2 49582390                            :	  -54.46        	    3.02
pde2 49580115                            :	  -46.64        	    3.52
pde2 49396360                            :	  -52.44        	    3.24
pde2 49220548                            :	  -63.55        	    2.26
pde2 49220392                            :	  -52.50        	    4.49
pde2 49175828                            :	  -50.61        	    3.23
pde2 49175789                            :	  -60.11        	    3.32
pde2 49137530                            :	  -52.35        	    3.02
pde2 49137374                            :	  -46.87        	    3.69
pde2 49072088                            :	  -52.75        	    3.81
pde2 48271249                            :	  -45.71        	    2.63
pde2 48168913                            :	  -37.01        	    1.98
pde2 48022468                            :	  -47.85        	    2.12
pde2 48009208                            :	  -39.59        	    3.25
